station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported
7000,27,"{'mechanical': 23, 'ebike': 4}",0,20,0,1785180953.0
7001,3,"{'mechanical': 1, 'ebike': 2}",5,15,0,1785180932.0
7002,6,"{'mechanical': 3, 'ebike': 3}",0,13,0,1785180975.0
7003,1,"{'mechanical': 0, 'ebike': 1}",0,12,2,1785180964.0
7005,21,"{'mechanical': 17, 'ebike': 4}",1,1,0,1785181009.0
7006,10,"{'mechanical': 8, 'ebike': 2}",1,20,0,1785181053.0
7007,14,"{'mechanical': 10, 'ebike': 4}",0,5,0,1785180990.0
7008,5,"{'mechanical': 2, 'ebike': 3}",2,12,0,1785180958.0
7010,16,"{'mechanical': 15, 'ebike': 1}",0,3,0,1785181009.0
7013,13,"{'mechanical': 13, 'ebike': 0}",0,5,1,1785181006.0
7014,6,"{'mechanical': 6, 'ebike': 0}",2,9,0,1785180950.0
7015,21,"{'mechanical': 20, 'ebike': 1}",0,18,0,1785181041.0
7016,33,"{'mechanical': 30, 'ebike': 3}",1,1,0,1785180942.0
7017,9,"{'mechanical': 7, 'ebike': 2}",0,2,0,1785180953.0
7018,44,"{'mechanical': 41, 'ebike': 3}",3,1,0,1785180944.0
7019,53,"{'mechanical': 43, 'ebike': 10}",2,0,0,1785180984.0
7020,30,"{'mechanical': 28, 'ebike': 2}",1,2,0,1785181038.0
7021,49,"{'mechanical': 40, 'ebike': 9}",0,13,0,1785181039.0
7023,1,"{'mechanical': 0, 'ebike': 1}",1,9,0,1785180957.0
7024,16,"{'mechanical': 14, 'ebike': 2}",2,20,0,1785181021.0
7025,13,"{'mechanical': 8, 'ebike': 5}",0,14,0,1785180998.0
7026,3,"{'mechanical': 2, 'ebike': 1}",0,12,0,1785180944.0
7027,15,"{'mechanical': 14, 'ebike': 1}",1,15,0,1785180953.0
7028,23,"{'mechanical': 23, 'ebike': 0}",0,8,0,1785181034.0
7029,2,"{'mechanical': 1, 'ebike': 1}",1,12,0,1785180974.0
7030,24,"{'mechanical': 19, 'ebike': 5}",2,9,0,1785181043.0
7031,5,"{'mechanical': 5, 'ebike': 0}",1,32,0,1785181050.0
7032,1,"{'mechanical': 0, 'ebike': 1}",2,11,1,1785180936.0
7033,41,"{'mechanical': 41, 'ebike': 0}",1,1,0,1785180931.0
7034,1,"{'mechanical': 0, 'ebike': 1}",0,14,0,1785181032.0
7035,15,"{'mechanical': 15, 'ebike': 0}",0,28,0,1785180940.0
7036,4,"{'mechanical': 4, 'ebike': 0}",1,14,0,1785180979.0
7037,0,"{'mechanical': 0, 'ebike': 0}",1,40,0,1785180969.0
7038,27,"{'mechanical': 26, 'ebike': 1}",0,4,0,1785181052.0
7039,3,"{'mechanical': 0, 'ebike': 3}",0,16,0,1785181005.0
7040,4,"{'mechanical': 3, 'ebike': 1}",0,15,0,1785180993.0
7041,3,"{'mechanical': 2, 'ebike': 1}",2,17,1,1785181047.0
7042,14,"{'mechanical': 13, 'ebike': 1}",2,15,0,1785181012.0
7043,15,"{'mechanical': 13, 'ebike': 2}",4,0,0,1785180982.0
7044,19,"{'mechanical': 17, 'ebike': 2}",0,16,0,1785181020.0
7045,7,"{'mechanical': 7, 'ebike': 0}",0,30,0,1785181054.0
7046,12,"{'mechanical': 12, 'ebike': 0}",0,30,0,1785180971.0
7047,9,"{'mechanical': 8, 'ebike': 1}",6,10,0,1785181037.0
7048,27,"{'mechanical': 26, 'ebike': 1}",4,16,0,1785181005.0
7049,13,"{'mechanical': 12, 'ebike': 1}",1,0,1,1785181016.0
7050,6,"{'mechanical': 2, 'ebike': 4}",2,8,0,1785181046.0
7052,27,"{'mechanical': 27, 'ebike': 0}",1,27,0,1785181016.0
7053,21,"{'mechanical': 21, 'ebike': 0}",0,6,0,1785180947.0
7054,9,"{'mechanical': 6, 'ebike': 3}",2,0,0,1785181016.0
7055,5,"{'mechanical': 3, 'ebike': 2}",1,8,1,1785180943.0
7057,24,"{'mechanical': 24, 'ebike': 0}",0,3,0,1785181034.0
7058,26,"{'mechanical': 19, 'ebike': 7}",0,13,0,1785180980.0
