station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,last_queried
7000,7,"{'mechanical': 2, 'ebike': 5}",1,39,0,1747683179,False,1747683224
7001,9,"{'mechanical': 7, 'ebike': 2}",6,8,0,1747683132,True,1747683224
7002,5,"{'mechanical': 2, 'ebike': 3}",0,13,0,1747683069,False,1747683224
7003,1,"{'mechanical': 1, 'ebike': 0}",0,12,1,1747683099,False,1747683224
7005,5,"{'mechanical': 3, 'ebike': 2}",0,17,0,1747683207,False,1747683224
7006,6,"{'mechanical': 6, 'ebike': 0}",0,24,1,1747683053,False,1747683224
7007,1,"{'mechanical': 1, 'ebike': 0}",0,17,1,1747683138,False,1747683224
7008,7,"{'mechanical': 5, 'ebike': 2}",0,10,1,1747683102,False,1747683224
7009,14,"{'mechanical': 14, 'ebike': 0}",1,10,0,1747683088,False,1747683224
7010,8,"{'mechanical': 7, 'ebike': 1}",0,10,0,1747683052,False,1747683224
7012,5,"{'mechanical': 5, 'ebike': 0}",0,10,0,1747683208,False,1747683224
7013,10,"{'mechanical': 10, 'ebike': 0}",0,8,0,1747683183,False,1747683224
7014,3,"{'mechanical': 3, 'ebike': 0}",0,14,0,1747683187,False,1747683224
7015,8,"{'mechanical': 8, 'ebike': 0}",1,29,0,1747683117,False,1747683224
7016,27,"{'mechanical': 27, 'ebike': 0}",1,7,0,1747683145,False,1747683224
7017,2,"{'mechanical': 2, 'ebike': 0}",2,8,0,1747683151,False,1747683224
7018,19,"{'mechanical': 19, 'ebike': 0}",0,29,1,1747683107,False,1747683224
7019,19,"{'mechanical': 18, 'ebike': 1}",1,34,1,1747683200,False,1747683224
7020,5,"{'mechanical': 5, 'ebike': 0}",0,26,1,1747683158,False,1747683224
7021,18,"{'mechanical': 17, 'ebike': 1}",0,45,0,1747683096,False,1747683224
7022,8,"{'mechanical': 8, 'ebike': 0}",0,29,2,1747683157,False,1747683224
7023,2,"{'mechanical': 1, 'ebike': 1}",1,8,0,1747683066,False,1747683224
7024,16,"{'mechanical': 16, 'ebike': 0}",2,21,0,1747683141,False,1747683224
7025,8,"{'mechanical': 8, 'ebike': 0}",0,15,0,1747683097,False,1747683224
7026,2,"{'mechanical': 0, 'ebike': 2}",0,13,0,1747683182,False,1747683224
7027,9,"{'mechanical': 7, 'ebike': 2}",0,22,0,1747683118,False,1747683224
7028,2,"{'mechanical': 2, 'ebike': 0}",0,27,0,1747683078,False,1747683224
7029,8,"{'mechanical': 8, 'ebike': 0}",2,5,0,1747683192,False,1747683224
7030,10,"{'mechanical': 6, 'ebike': 4}",1,23,1,1747683149,False,1747683224
7031,17,"{'mechanical': 17, 'ebike': 0}",1,5,0,1747683162,False,1747683224
7032,13,"{'mechanical': 12, 'ebike': 1}",0,1,1,1747683186,False,1747683224
7034,8,"{'mechanical': 7, 'ebike': 1}",0,5,1,1747683125,False,1747683224
7035,25,"{'mechanical': 25, 'ebike': 0}",0,5,0,1747683215,False,1747683224
7036,17,"{'mechanical': 17, 'ebike': 0}",0,1,0,1747683123,False,1747683224
7037,3,"{'mechanical': 1, 'ebike': 2}",1,23,0,1747683067,False,1747683224
7038,0,"{'mechanical': 0, 'ebike': 0}",1,28,0,1747683084,False,1747683224
7039,2,"{'mechanical': 2, 'ebike': 0}",0,18,0,1747683052,False,1747683224
7040,2,"{'mechanical': 2, 'ebike': 0}",0,17,0,1747683091,False,1747683224
7041,9,"{'mechanical': 9, 'ebike': 0}",0,14,0,1747683077,False,1747683224
7042,17,"{'mechanical': 17, 'ebike': 0}",1,13,0,1747683056,False,1747683224
7043,19,"{'mechanical': 18, 'ebike': 1}",0,0,0,1747683101,False,1747683224
7044,8,"{'mechanical': 6, 'ebike': 2}",0,27,0,1747683210,False,1747683224
7045,13,"{'mechanical': 13, 'ebike': 0}",1,22,1,1747683184,False,1747683224
7046,37,"{'mechanical': 32, 'ebike': 5}",0,4,1,1747683161,False,1747683224
7047,10,"{'mechanical': 9, 'ebike': 1}",0,15,0,1747683094,False,1747683224
7048,16,"{'mechanical': 16, 'ebike': 0}",1,30,0,1747683220,False,1747683224
7049,5,"{'mechanical': 5, 'ebike': 0}",0,10,0,1747683211,False,1747683224
7050,0,"{'mechanical': 0, 'ebike': 0}",2,14,0,1747683116,True,1747683224
7052,19,"{'mechanical': 19, 'ebike': 0}",0,34,2,1747683071,False,1747683224
7053,5,"{'mechanical': 5, 'ebike': 0}",1,21,0,1747683098,False,1747683224
7054,2,"{'mechanical': 1, 'ebike': 1}",1,6,1,1747683156,False,1747683224
7055,3,"{'mechanical': 3, 'ebike': 0}",0,11,1,1747683068,False,1747683224
7057,19,"{'mechanical': 19, 'ebike': 0}",0,6,2,1747683077,False,1747683224
7059,9,"{'mechanical': 8, 'ebike': 1}",0,4,0,1747683203,False,1747683224
7061,6,"{'mechanical': 2, 'ebike': 4}",0,9,0,1747683140,False,1747683224
7063,18,"{'mechanical': 13, 'ebike': 5}",1,2,2,1747683068,False,1747683224
7064,17,"{'mechanical': 17, 'ebike': 0}",0,2,0,1747683126,False,1747683224
7065,6,"{'mechanical': 3, 'ebike': 3}",0,8,1,1747683190,False,1747683224
7066,8,"{'mechanical': 8, 'ebike': 0}",0,7,0,1747683178,False,1747683224
7068,20,"{'mechanical': 20, 'ebike': 0}",0,3,0,1747683163,False,1747683224
7069,9,"{'mechanical': 9, 'ebike': 0}",0,1,1,1747683204,False,1747683224
7070,7,"{'mechanical': 3, 'ebike': 4}",1,3,0,1747683205,False,1747683224
7071,18,"{'mechanical': 17, 'ebike': 1}",0,5,0,1747683113,False,1747683224
7073,2,"{'mechanical': 2, 'ebike': 0}",3,16,1,1747683208,False,1747683224
7075,9,"{'mechanical': 7, 'ebike': 2}",1,16,0,1747683192,True,1747683224
7076,30,"{'mechanical': 29, 'ebike': 1}",1,25,1,1747683069,False,1747683224
7077,19,"{'mechanical': 18, 'ebike': 1}",0,0,0,1747683195,False,1747683224
7078,4,"{'mechanical': 2, 'ebike': 2}",0,10,0,1747683207,False,1747683224
7079,3,"{'mechanical': 1, 'ebike': 2}",1,12,2,1747683110,False,1747683224
7083,5,"{'mechanical': 5, 'ebike': 0}",0,10,0,1747683213,False,1747683224
7084,1,"{'mechanical': 0, 'ebike': 1}",2,8,0,1747683143,False,1747683224
7085,1,"{'mechanical': 0, 'ebike': 1}",0,14,0,1747683132,False,1747683224
